duration,protocol,service,src_bytes,dst_bytes,packet_count,flow_bytes_per_sec,flow_packets_per_sec,failed_login_count,same_srv_rate,serror_rate,rerror_rate,Label
27.512,TCP,ftp,1971,3233,2869,189.154,104.282,9,0.444,0.529,0.139,Brute Force
0.128,TCP,https,13656,816,2291,113062.5,17898.438,0,0.481,0.698,0.353,DDoS
16.133,ICMP,other,266,984,2179,77.481,135.065,0,0.231,0.039,0.058,Benign
23.614,UDP,smtp,3614,5006,1562,365.038,66.147,1,0.404,0.017,0.09,Benign
27.775,TCP,ssh,4450,5666,2988,364.212,107.579,0,0.545,0.111,0.067,Benign
107.896,UDP,ssh,28287,4583,2677,304.645,24.811,2,0.522,0.454,0.35,Botnet
12.671,TCP,https,3145,5588,3331,689.212,262.884,0,0.638,0.026,0.057,Benign
12.954,UDP,https,4791,5009,1755,756.523,135.479,0,0.609,0.07,0.044,Benign
3.298,ICMP,https,19598,1055,770,6262.28,233.475,0,0.855,0.849,0.267,DDoS
1.131,ICMP,dns,14050,301,3897,12688.771,3445.623,0,0.689,0.561,0.136,DoS
4.432,UDP,ftp,38727,398,3278,8827.843,739.621,0,0.395,0.873,0.184,DoS
25.827,TCP,other,913,6416,4248,283.773,164.479,0,0.572,0.026,0.096,Benign
4.087,TCP,ftp,3846,5508,3630,2288.72,888.182,0,0.69,0.084,0.032,Benign
24.934,ICMP,ftp,4528,3692,2128,329.67,85.345,0,0.801,0.112,0.047,Benign
3.891,UDP,other,32758,1283,2345,8748.651,602.673,0,0.388,0.658,0.204,DDoS
4.237,ICMP,http,1934,3177,3344,1206.278,789.238,0,0.465,0.106,0.006,Benign
25.003,TCP,https,3230,7452,4721,427.229,188.817,0,0.504,0.142,0.002,Benign
22.629,UDP,dns,3472,4449,1811,350.038,80.03,0,0.591,0.082,0.06,Benign
11.727,UDP,http,3352,5972,4380,795.088,373.497,0,0.222,0.07,0.013,Benign
0.91,ICMP,smtp,3551,1151,2686,5167.033,2951.648,0,0.369,0.027,0.026,Benign
22.585,UDP,dns,3493,2106,431,247.908,19.083,0,1.0,0.071,0.075,Benign
23.459,ICMP,http,369,6218,1253,280.788,53.412,0,0.391,0.037,0.084,Benign
28.438,TCP,ssh,3849,5770,943,338.245,33.16,0,0.822,0.055,0.061,Benign
17.403,UDP,http,2595,4756,1629,422.398,93.605,0,0.261,0.144,0.04,Benign
3.147,ICMP,https,2510,7005,4641,3023.514,1474.738,0,0.826,0.121,0.08,Benign
11.18,UDP,smtp,4184,5344,869,852.236,77.728,0,0.547,0.127,0.082,Benign
4.674,UDP,smtp,1482,6051,4413,1611.682,944.159,0,0.82,0.098,0.062,Benign
8.125,ICMP,ssh,2051,6845,3811,1094.892,469.046,0,0.656,0.042,0.045,Benign
14.88,UDP,http,2702,1529,2295,284.341,154.234,0,0.904,0.053,0.026,Benign
0.404,UDP,ssh,1605,741,1973,5806.931,4883.663,0,0.752,0.061,0.056,Benign
23.809,UDP,ftp,802,2450,4769,136.587,200.302,0,0.495,0.104,0.031,Benign
29.899,UDP,ftp,4548,2749,1893,244.055,63.313,0,0.297,0.068,0.031,Benign
16.122,TCP,smtp,1556,1609,4302,196.316,266.84,0,0.677,0.073,0.072,Benign
136.917,TCP,dns,24519,40618,377,475.741,2.753,0,0.979,0.489,0.157,Infiltration
19.172,ICMP,https,4061,880,3613,257.72,188.452,0,0.473,0.086,0.047,Benign
153.764,UDP,other,27439,2641,444,195.624,2.888,3,0.321,0.445,0.31,Botnet
4.97,UDP,http,8762,1142,1853,1992.757,372.837,0,0.821,0.894,0.262,DDoS
25.819,UDP,dns,3552,2541,817,235.989,31.643,0,0.958,0.009,0.096,Benign
19.847,TCP,dns,1326,2004,3695,167.784,186.174,0,0.751,0.011,0.0,Benign
8.714,TCP,https,2356,5798,2172,935.736,249.254,0,0.83,0.011,0.023,Benign
28.017,ICMP,other,3522,980,1170,160.688,41.76,0,0.257,0.097,0.091,Benign
22.494,UDP,ssh,4702,7586,3302,546.279,146.795,0,0.954,0.019,0.069,Benign
2.505,UDP,ftp,366,7326,753,3070.659,300.599,0,0.383,0.048,0.025,Benign
28.529,ICMP,ssh,2247,4760,3627,245.61,127.134,0,0.933,0.113,0.047,Benign
19.08,ICMP,ftp,4068,7978,861,631.342,45.126,0,0.886,0.052,0.033,Benign
8.718,ICMP,ftp,3320,6704,2072,1149.805,237.669,0,0.459,0.006,0.009,Benign
271.86,UDP,other,1150,87200,4252,324.983,15.64,8,0.489,0.354,0.124,Infiltration
3.802,ICMP,ftp,14340,546,3594,3915.308,945.292,0,0.905,0.797,0.375,DoS
18.305,TCP,smtp,2000,5854,768,429.063,41.956,0,0.38,0.083,0.055,Benign
4.736,TCP,ftp,43448,1704,2395,9533.784,505.701,0,0.607,0.619,0.376,DDoS
7.388,UDP,ftp,4555,1224,1123,782.214,152.003,0,0.891,0.138,0.051,Benign
28.034,UDP,dns,4199,2228,4813,229.257,171.684,0,0.664,0.042,0.03,Benign
16.204,TCP,ftp,2867,2763,2641,347.445,162.984,0,0.896,0.082,0.046,Benign
209.996,TCP,ssh,113199,102652,3128,1027.881,14.896,6,0.509,0.124,0.435,Infiltration
14.91,ICMP,https,343,1074,3611,95.037,242.186,0,0.28,0.089,0.087,Benign
12.388,TCP,https,5558,5903,662,925.17,53.439,3,0.881,0.284,0.116,Web Attack
114.955,ICMP,ftp,8194,4532,1868,110.704,16.25,9,0.797,0.409,0.144,Brute Force
19.049,TCP,other,863,3674,2662,238.175,139.745,0,0.837,0.045,0.003,Benign
4.453,UDP,ftp,4391,3415,651,1752.976,146.194,0,0.688,0.119,0.017,Benign
14.98,ICMP,https,4817,1212,81,402.47,5.407,0,0.919,0.096,0.046,Benign
16.443,UDP,smtp,645,3658,3480,261.692,211.64,0,0.752,0.148,0.03,Benign
29.981,UDP,https,3998,913,2423,163.804,80.818,0,0.218,0.086,0.057,Benign
0.05,UDP,dns,57693,1404,4972,1181940.0,99440.0,0,0.796,0.9,0.391,DDoS
3.996,UDP,other,40784,1642,2058,10617.117,515.015,0,0.742,0.709,0.273,DDoS
4.193,ICMP,smtp,42172,198,2535,10104.937,604.579,0,0.831,0.957,0.276,DoS
4.029,UDP,smtp,2457,2716,4423,1283.941,1097.791,0,0.901,0.026,0.013,Benign
24.931,ICMP,dns,2145,7527,2779,387.951,111.468,0,0.843,0.072,0.081,Benign
22.649,TCP,https,1888,7086,4570,396.221,201.775,0,0.493,0.101,0.04,Benign
2.687,TCP,dns,30804,754,4793,11744.697,1783.774,0,0.505,0.853,0.285,DDoS
20.278,UDP,http,3902,245,1818,204.507,89.654,0,0.718,0.141,0.033,Benign
9.135,UDP,smtp,3384,995,4040,479.365,442.255,0,0.293,0.142,0.03,Benign
11.721,ICMP,https,3079,5532,4816,734.664,410.886,0,0.794,0.104,0.054,Benign
3.061,UDP,smtp,4048,5083,3040,2983.012,993.139,0,0.374,0.143,0.003,Benign
10.944,TCP,other,3049,4500,2265,689.784,206.963,0,0.352,0.097,0.006,Benign
19.917,UDP,http,4931,7995,1036,648.993,52.016,0,0.83,0.118,0.024,Benign
17.633,ICMP,https,1948,2731,2276,265.355,129.076,0,0.887,0.118,0.06,Benign
7.595,TCP,ssh,1469,940,1954,317.182,257.275,0,0.671,0.004,0.001,Benign
3.89,UDP,http,3488,4349,2970,2014.653,763.496,0,0.611,0.01,0.045,Benign
28.368,ICMP,https,395,5997,3757,225.324,132.438,0,0.715,0.13,0.052,Benign
12.108,UDP,other,924,4056,2643,411.298,218.285,0,0.687,0.067,0.09,Benign
19.029,UDP,ssh,4532,5873,3721,546.797,195.544,0,0.604,0.149,0.053,Benign
25.599,ICMP,http,4556,5945,3394,410.211,132.583,0,0.471,0.065,0.089,Benign
2.943,UDP,smtp,3536,2600,3890,2084.947,1321.78,0,0.254,0.056,0.015,Benign
0.492,TCP,ftp,49417,763,4809,101991.87,9774.39,0,0.965,0.915,0.245,DDoS
12.383,ICMP,http,3504,7151,2564,860.454,207.058,0,0.481,0.008,0.029,Benign
19.736,TCP,https,1877,6980,2287,448.774,115.88,0,0.659,0.127,0.037,Benign
4.094,ICMP,other,41211,1382,2195,10403.762,536.15,0,0.223,0.839,0.059,DDoS
10.596,UDP,dns,1526,7165,256,820.215,24.16,0,0.273,0.099,0.007,Benign
13.664,UDP,ftp,1329,3071,4889,322.014,357.802,0,0.268,0.049,0.094,Benign
18.573,TCP,other,708,2269,3397,160.286,182.9,0,0.419,0.064,0.061,Benign
2.155,TCP,dns,19562,1388,2531,9721.578,1174.478,0,0.236,0.855,0.22,DoS
0.33,ICMP,http,2509,7784,2692,31190.909,8157.576,0,0.296,0.021,0.026,Benign
3.963,UDP,https,4402,5804,2906,2575.322,733.283,0,0.258,0.084,0.067,Benign
12.062,TCP,ftp,1475,2664,2376,343.144,196.982,78,0.292,0.315,0.212,Brute Force
24.06,UDP,https,3809,6855,872,443.225,36.243,0,0.395,0.054,0.044,Benign
11.933,ICMP,http,2581,6149,4186,731.585,350.792,0,0.707,0.05,0.017,Benign
10.546,TCP,other,1249,1975,1257,305.708,119.192,0,0.808,0.038,0.017,Benign
18.876,TCP,other,3840,6220,4629,532.952,245.232,0,0.714,0.087,0.068,Benign
486.357,UDP,other,42436,20786,2485,129.991,5.109,7,0.837,0.138,0.299,Infiltration
2.318,UDP,ssh,3822,3742,744,3263.158,320.966,0,0.692,0.055,0.029,Benign
16.674,UDP,ssh,376,3724,4961,245.892,297.529,0,0.581,0.086,0.019,Benign
3.195,TCP,ftp,2853,5891,3591,2736.776,1123.944,0,0.993,0.097,0.004,Benign
10.981,ICMP,https,2357,3213,2746,507.24,250.068,0,0.253,0.051,0.06,Benign
8.596,ICMP,ftp,4977,7193,2870,1415.775,333.876,0,0.448,0.012,0.066,Benign
3.956,ICMP,ftp,734,2576,1051,836.704,265.672,0,0.736,0.097,0.033,Benign
4.563,ICMP,smtp,7124,1323,154,1851.194,33.75,0,0.49,0.852,0.228,DDoS
28.435,TCP,dns,4023,1612,833,198.171,29.295,0,0.606,0.021,0.008,Benign
1.229,ICMP,ssh,2798,7219,1334,8150.529,1085.435,0,0.345,0.02,0.038,Benign
27.089,ICMP,other,3625,397,3643,148.474,134.483,0,0.688,0.101,0.024,Benign
2.675,UDP,https,21281,1977,1594,8694.579,595.888,0,0.494,0.914,0.214,DoS
235.443,UDP,ftp,25997,13013,4958,165.688,21.058,3,0.311,0.73,0.418,Botnet
26.236,ICMP,ftp,4582,7693,2340,467.869,89.19,0,0.267,0.127,0.085,Benign
4.506,UDP,ssh,3623,791,2868,979.583,636.485,0,0.944,0.033,0.045,Benign
11.281,UDP,ssh,3203,708,2751,346.689,243.861,0,0.833,0.004,0.093,Benign
14.226,UDP,other,1176,6256,654,522.424,45.972,0,0.215,0.067,0.001,Benign
28.213,TCP,ssh,4363,3507,396,278.949,14.036,0,0.391,0.043,0.03,Benign
1.978,ICMP,ftp,4134,4928,1181,4581.395,597.068,0,0.433,0.095,0.058,Benign
17.163,UDP,https,1574,5482,4314,411.117,251.355,0,0.635,0.079,0.036,Benign
0.111,ICMP,ssh,58234,962,3063,533297.297,27594.595,0,0.403,0.57,0.185,DoS
7.31,TCP,dns,889,6360,2891,991.655,395.486,0,0.637,0.114,0.013,Benign
3.898,TCP,other,31449,1424,1109,8433.299,284.505,0,0.25,0.765,0.114,DDoS
1.474,UDP,http,3870,1620,2545,3724.559,1726.594,0,0.612,0.64,0.065,DoS
149.057,ICMP,ftp,99735,85790,396,1244.658,2.657,3,0.893,0.257,0.488,Infiltration
11.104,TCP,other,3316,6129,1535,850.594,138.238,0,0.597,0.143,0.034,Benign
24.054,ICMP,dns,3517,686,2411,174.732,100.233,0,0.457,0.149,0.018,Benign
9.264,ICMP,dns,4976,5919,351,1176.058,37.889,0,0.781,0.103,0.035,Benign
22.69,ICMP,http,2379,5917,260,365.624,11.459,5,0.314,0.241,0.141,Web Attack
3.874,UDP,http,1973,6417,270,2165.72,69.695,0,0.684,0.054,0.095,Benign
13.374,UDP,dns,669,4741,2288,404.516,171.078,0,0.4,0.055,0.031,Benign
15.021,ICMP,https,3210,7523,3660,714.533,243.659,0,0.372,0.039,0.026,Benign
6.085,ICMP,ftp,1151,7026,724,1343.796,118.981,0,0.848,0.026,0.071,Benign
117.279,UDP,smtp,2627,18522,1431,180.331,12.202,2,0.835,0.685,0.433,Botnet
23.783,TCP,https,1979,6514,3833,357.104,161.166,0,0.843,0.054,0.057,Benign
2.066,ICMP,http,3301,5913,4714,4459.826,2281.704,0,0.259,0.079,0.077,Benign
241.488,ICMP,http,90143,68811,4521,658.227,18.721,5,0.712,0.171,0.473,Infiltration
15.136,TCP,ftp,493,6850,2648,485.135,174.947,0,0.948,0.023,0.016,Benign
25.393,ICMP,dns,2092,1648,2485,147.285,97.862,0,0.692,0.083,0.013,Benign
17.795,ICMP,https,4796,1303,2770,342.737,155.662,0,0.874,0.094,0.09,Benign
1.459,TCP,http,4764,2208,253,4778.615,173.406,0,0.598,0.115,0.042,Benign
28.704,UDP,smtp,3996,2046,602,210.493,20.973,0,0.751,0.103,0.03,Benign
13.987,UDP,ftp,2826,5009,2834,560.163,202.617,0,0.98,0.129,0.032,Benign
16.893,UDP,ssh,2654,2020,798,276.683,47.239,0,0.24,0.04,0.025,Benign
89.516,ICMP,ftp,28854,5733,1560,386.378,17.427,2,0.81,0.71,0.375,Botnet
15.013,ICMP,ftp,2567,4114,1977,445.014,131.686,0,0.372,0.142,0.051,Benign
14.897,TCP,dns,3895,2380,2171,421.226,145.734,0,0.782,0.127,0.043,Benign
2.009,UDP,http,38373,1150,607,19672.972,302.14,0,0.509,0.638,0.244,DoS
24.777,ICMP,dns,1013,1094,2782,85.039,112.282,1,0.646,0.059,0.079,Benign
18.114,TCP,https,3328,4136,3885,412.057,214.475,0,0.615,0.006,0.071,Benign
9.906,ICMP,https,2649,1371,4868,405.815,491.419,0,0.469,0.092,0.084,Benign
3.547,ICMP,ftp,20647,972,902,6095.01,254.299,0,0.984,0.917,0.179,DDoS
20.673,ICMP,other,258,4929,4743,250.907,229.43,0,0.662,0.145,0.078,Benign
0.861,ICMP,ftp,42223,1476,1215,50753.775,1411.15,0,0.857,0.829,0.344,DoS
3.386,ICMP,smtp,195,3652,3366,1136.149,994.093,0,0.601,0.023,0.069,Benign
25.466,UDP,other,550,5821,3923,250.177,154.049,0,0.62,0.031,0.033,Benign
27.373,TCP,ftp,2844,4515,2170,268.842,79.275,0,0.688,0.116,0.072,Benign
16.787,TCP,dns,1882,7752,1703,573.896,101.448,1,0.752,0.045,0.029,Benign
16.859,UDP,dns,2280,2397,3237,277.419,192.004,0,0.855,0.101,0.038,Benign
31.779,TCP,dns,23900,3089,3929,849.272,123.635,2,0.371,0.704,0.345,Botnet
3.484,UDP,ssh,9996,223,1991,2933.123,571.47,0,0.241,0.827,0.255,DDoS
19.394,TCP,http,3783,28086,47,1643.24,2.423,2,0.972,0.265,0.075,Web Attack
336.86,TCP,ftp,116428,116133,2358,690.379,7.0,7,0.457,0.363,0.19,Infiltration
17.267,TCP,smtp,4423,6091,1439,608.907,83.338,0,0.534,0.141,0.091,Benign
1.991,TCP,other,33465,381,2376,16999.498,1193.37,0,0.901,0.971,0.387,DDoS
3.308,ICMP,ssh,2784,2371,1104,1558.343,333.736,0,0.881,0.096,0.052,Benign
3.468,TCP,other,1371,6029,2766,2133.795,797.578,0,0.833,0.039,0.019,Benign
18.368,TCP,https,3361,6814,786,553.953,42.792,0,0.348,0.049,0.04,Benign
0.304,UDP,https,3182,1969,4776,16944.079,15710.526,0,0.778,0.04,0.033,Benign
20.814,ICMP,dns,548,5510,4121,291.054,197.992,0,0.938,0.046,0.041,Benign
22.916,UDP,ssh,5033,3110,3732,355.341,162.856,33,0.798,0.21,0.103,Brute Force
16.522,UDP,smtp,3897,6244,2032,613.788,122.988,0,0.744,0.1,0.022,Benign
13.458,TCP,ssh,3003,679,4145,273.592,307.995,0,0.362,0.017,0.083,Benign
25.649,TCP,dns,3659,992,4185,181.333,163.164,0,0.556,0.108,0.049,Benign
12.521,TCP,ssh,4659,512,183,412.986,14.615,0,0.517,0.101,0.031,Benign
2.896,ICMP,https,3968,867,498,1669.544,171.961,0,0.948,0.705,0.072,DDoS
8.684,UDP,http,1514,6339,3448,904.307,397.052,0,0.5,0.096,0.073,Benign
110.883,UDP,ssh,6384,3177,2853,86.226,25.73,15,0.295,0.441,0.315,Brute Force
89.853,UDP,ssh,30188,110421,3797,1564.878,42.258,0,0.739,0.516,0.54,Infiltration
24.718,ICMP,ftp,2067,3813,929,237.883,37.584,0,0.226,0.041,0.094,Benign
28.094,ICMP,other,168,2011,4902,77.561,174.486,0,0.738,0.015,0.003,Benign
14.866,TCP,ssh,7391,2019,1152,632.988,77.492,74,0.603,0.209,0.395,Brute Force
9.635,ICMP,ssh,4938,6368,1178,1173.43,122.263,0,0.989,0.048,0.03,Benign
8.327,UDP,dns,4600,7810,3504,1490.333,420.8,0,0.645,0.11,0.018,Benign
20.173,UDP,smtp,4336,2651,1511,346.354,74.902,0,0.804,0.061,0.03,Benign
25.74,TCP,dns,1222,6640,3417,305.439,132.751,0,0.646,0.009,0.041,Benign
6.18,TCP,dns,687,7594,1565,1339.968,253.236,0,0.241,0.056,0.054,Benign
1.282,ICMP,ssh,636,1581,1782,1729.329,1390.016,0,0.584,0.088,0.067,Benign
115.272,UDP,ftp,451,1835,1992,19.831,17.281,29,0.757,0.581,0.097,Brute Force
16.607,UDP,https,2358,3158,2951,332.149,177.696,0,0.61,0.097,0.031,Benign
29.441,TCP,other,3886,6279,3395,345.267,115.315,0,0.237,0.137,0.037,Benign
11.784,ICMP,ssh,9265,4884,2707,1200.696,229.718,79,0.384,0.46,0.168,Brute Force
16.564,TCP,ftp,2805,2148,4023,299.022,242.876,0,0.569,0.073,0.072,Benign
0.708,UDP,https,36818,1000,486,53415.254,686.441,0,0.619,0.633,0.361,DoS
3.344,TCP,other,51091,13,1900,15282.297,568.182,0,0.254,0.736,0.345,DDoS
13.735,TCP,ssh,535,5101,4001,410.339,291.3,0,0.213,0.14,0.091,Benign
0.6,UDP,http,2290,4428,3532,11196.667,5886.667,1,0.845,0.003,0.081,Benign
42.426,TCP,https,8396,13578,3256,517.937,76.745,4,0.263,0.208,0.254,Web Attack
88.098,UDP,ssh,23347,7900,264,354.685,2.997,2,0.275,0.56,0.432,Botnet
1.778,ICMP,ftp,117,5797,2718,3326.209,1528.684,0,0.653,0.075,0.043,Benign
111.107,TCP,ssh,3964,1831,2301,52.157,20.71,77,0.919,0.338,0.069,Brute Force
27.87,TCP,https,2616,168,3267,99.892,117.223,1,0.943,0.088,0.075,Benign
17.044,ICMP,https,3227,5586,1151,517.073,67.531,0,0.832,0.05,0.076,Benign
22.389,TCP,ssh,2873,479,4962,149.716,221.627,0,0.815,0.035,0.008,Benign
111.385,UDP,other,21278,9456,3080,275.926,27.652,3,0.545,0.444,0.21,Botnet
2.662,ICMP,ftp,2459,6577,3117,3394.44,1170.924,0,0.769,0.011,0.027,Benign
9.569,ICMP,ftp,912,789,2214,177.762,231.372,0,0.282,0.046,0.036,Benign
16.754,UDP,ftp,4237,3382,4895,454.757,292.169,0,0.678,0.013,0.055,Benign
8.826,UDP,http,3216,6422,1993,1092.001,225.81,0,0.658,0.135,0.091,Benign
4.251,UDP,https,2506,2238,3454,1115.973,812.515,0,0.44,0.009,0.043,Benign
4.722,UDP,dns,48244,1280,3755,10487.929,795.214,0,0.286,0.773,0.266,DoS
25.264,UDP,dns,3152,6626,4874,387.033,192.923,0,0.309,0.066,0.043,Benign
14.422,ICMP,https,1495,7941,4027,654.278,279.226,0,0.974,0.048,0.073,Benign
1.409,UDP,ftp,52502,804,1641,37832.505,1164.656,0,0.674,0.714,0.376,DoS
16.548,ICMP,other,3821,7764,571,700.085,34.506,0,0.855,0.066,0.029,Benign
2.502,UDP,smtp,42506,620,3471,17236.611,1387.29,0,0.831,0.659,0.281,DDoS
17.509,ICMP,ftp,4417,4190,306,491.576,17.477,0,0.833,0.13,0.042,Benign
19.182,ICMP,ssh,736,935,367,87.113,19.133,0,0.651,0.099,0.036,Benign
29.008,ICMP,ftp,2756,7951,1823,369.105,62.845,0,0.609,0.016,0.01,Benign
17.3,ICMP,smtp,3691,3104,4104,392.775,237.225,0,0.321,0.116,0.059,Benign
168.853,UDP,http,12253,16213,1699,168.585,10.062,2,0.617,0.292,0.254,Infiltration
21.688,TCP,ftp,3746,2652,190,295.002,8.761,0,0.879,0.007,0.071,Benign
5.014,ICMP,other,2038,4267,3790,1257.479,755.884,0,0.385,0.024,0.056,Benign
19.25,TCP,https,3580,3280,4856,356.364,252.26,0,0.544,0.092,0.02,Benign
8.423,TCP,https,552,4769,2675,631.723,317.583,0,0.358,0.131,0.019,Benign
14.736,ICMP,other,2607,4930,2888,511.469,195.983,0,0.876,0.059,0.011,Benign
24.038,ICMP,smtp,4874,734,963,233.297,40.062,0,0.346,0.047,0.024,Benign
12.605,ICMP,ftp,1169,4748,1424,469.417,112.971,0,0.644,0.028,0.064,Benign
9.506,TCP,https,3734,5114,1123,930.781,118.136,0,0.356,0.054,0.001,Benign
19.627,ICMP,ssh,3391,5649,1375,460.59,70.057,0,0.266,0.107,0.044,Benign
1.078,TCP,dns,1881,4444,4062,5867.347,3768.089,0,0.64,0.117,0.057,Benign
23.276,TCP,dns,3045,4480,4480,323.294,192.473,0,0.375,0.006,0.072,Benign
19.645,ICMP,other,2067,2478,717,231.357,36.498,0,0.551,0.005,0.026,Benign
411.03,TCP,https,78060,91326,3512,412.101,8.544,5,0.333,0.574,0.375,Infiltration
6.288,TCP,other,526,4710,2656,832.697,422.392,0,0.983,0.042,0.054,Benign
28.577,ICMP,dns,4254,7414,3376,408.3,118.137,0,0.935,0.014,0.096,Benign
359.67,ICMP,https,18392,33725,3222,144.902,8.958,2,0.592,0.491,0.473,Infiltration
12.485,UDP,smtp,3742,658,4228,352.423,338.646,0,0.8,0.132,0.009,Benign
28.513,UDP,ftp,2721,4807,3760,264.02,131.87,0,0.708,0.116,0.073,Benign
16.079,TCP,other,1824,7970,2328,609.117,144.785,0,0.47,0.032,0.027,Benign
14.612,ICMP,other,2855,7364,3769,699.357,257.939,0,0.213,0.007,0.01,Benign
37.065,TCP,https,14518,14259,1307,776.393,35.262,5,0.9,0.323,0.271,Web Attack
49.648,TCP,ssh,1550,3146,3521,94.586,70.919,26,0.724,0.126,0.3,Brute Force
14.357,TCP,https,1127,4903,2819,420.004,196.35,0,0.854,0.102,0.001,Benign
92.122,UDP,smtp,10283,31008,850,448.221,9.227,6,0.451,0.149,0.463,Infiltration
95.081,TCP,ssh,2381,1270,3610,38.399,37.968,13,0.481,0.365,0.053,Brute Force
27.605,ICMP,https,3664,7084,1013,389.35,36.696,0,0.672,0.134,0.014,Benign
23.753,UDP,dns,2069,2308,4982,184.271,209.742,0,0.428,0.037,0.06,Benign
257.18,TCP,other,29199,10384,3214,153.912,12.497,1,0.436,0.461,0.279,Botnet
11.638,TCP,ftp,2014,4132,103,528.098,8.85,0,0.99,0.011,0.089,Benign
69.004,TCP,https,19124,28581,602,691.337,8.724,2,0.213,0.214,0.093,Web Attack
1.291,UDP,https,535,7811,4109,6464.756,3182.804,0,0.814,0.076,0.063,Benign
19.252,UDP,http,4444,5086,1669,495.014,86.692,0,0.979,0.013,0.008,Benign
17.634,UDP,ftp,581,2580,479,179.256,27.163,0,0.396,0.109,0.085,Benign
49.371,TCP,http,2303,21269,108,477.446,2.188,5,0.766,0.273,0.235,Web Attack
28.595,TCP,ftp,4324,4277,1044,300.787,36.51,0,0.8,0.108,0.017,Benign
94.857,ICMP,ssh,680,2844,4069,37.151,42.896,59,0.564,0.236,0.076,Brute Force
17.05,UDP,other,3052,1328,949,256.891,55.66,0,0.383,0.015,0.057,Benign
25.902,TCP,other,2043,416,294,94.935,11.35,0,0.642,0.057,0.015,Benign
34.13,ICMP,http,11044,17270,4687,829.593,137.328,3,0.498,0.325,0.13,Web Attack
6.773,TCP,https,4265,416,2317,691.127,342.094,1,0.819,0.01,0.047,Benign
13.757,TCP,ssh,3062,1683,1992,344.915,144.799,0,0.571,0.118,0.074,Benign
23.299,UDP,other,4517,6269,200,462.938,8.584,0,0.386,0.023,0.093,Benign
